"Idade","Sexo","EstadoCivil","ProblemaC","Orientação","FIlhos","Religião","TipoReligião","MedidaReligiao","Patente","EP1","EP2","EP3","EP4","EP5","EP6","EP7","ESV1","ESV2","ESV3","ESV4","ESV5","EVS1","EVS2","EVS3","EVS4","EVS5","EVS6","EVS7","EF1","EF2","EF3","EF4","EF5","EF6","EF7","EF8","DTDD1","DTDD2","DTDD3","DTDD4","DTDD5","DTDD6","DTDD7","DTDD8","DTDD9","DTDD10","DTDD11","DTDD12","IPV1","IPV2","IPV3","IPV4","IPV5","IPV6","IPV7","IPV8","IPV9","IPV10","IPV11","IPV12","IPV13","IPV14","IPV15","IPV16","IPV17","IPV18","QVB1","QVB2","QVB3","QVB4","QVB5","QVB6","QVB7","QVB8","QVB9","QVB10","QVB11","QVB12","QVB13","QVB14","QVB15","QVB16","QVB17","QVB18","Positividade","Satisfação","Vitalidade","Florescimento","TríadeSombria","PersonalidadeVirtuosa","Valores"
50,1,4,2,1,1,0,2,0,3,4,4,3,4,4,4,4,4,2,4,4,3,2,3,1,2,4,3,4,3,3,3,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,1,1,1,1,2,1,4,2,1,2,2,2,3,5,5,5,5,0,2,5,6,6,5,5,6,5,6,6,6,7,5,27,17,19,30,12,35,0
0,0,1,2,0,2,0,3,3,3,5,4,4,2,5,4,4,4,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,1,5,5,1,5,5,5,5,5,5,5,6,4,7,7,7,7,5,7,7,7,7,7,7,7,7,28,24,31,40,0,0,114
32,2,3,1,1,2,1,2,2,7,5,4,2,5,4,4,4,4,4,4,4,3,5,4,6,5,7,5,4,4,4,4,5,5,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,2,1,1,1,1,5,1,5,4,1,4,4,3,3,6,7,6,7,5,3,7,7,7,7,6,7,7,5,5,5,7,7,28,19,36,34,12,48,111
54,1,3,2,0,1,1,1,3,3,5,5,3,5,4,4,5,5,2,2,5,5,7,7,5,5,7,5,5,5,5,5,4,4,5,5,5,2,2,2,2,4,2,2,2,2,4,4,2,5,2,3,5,3,5,3,3,3,1,1,5,5,1,5,5,5,5,6,6,6,6,4,4,0,6,7,7,7,7,6,6,6,6,6,6,31,19,41,38,30,65,0
39,1,3,2,1,1,0,2,3,3,4,4,3,5,4,4,4,3,3,2,4,2,6,1,5,5,5,4,5,4,2,4,4,4,5,4,4,2,1,2,2,5,1,5,1,3,3,4,4,4,3,1,4,5,1,1,1,1,2,1,5,4,1,3,1,2,1,5,6,5,5,5,5,6,7,7,4,6,7,7,6,7,7,5,6,28,14,31,31,33,41,106
40,1,3,2,1,0,0,1,2,3,4,4,3,5,4,2,5,3,3,4,4,4,6,3,4,4,5,5,6,4,4,5,4,4,5,4,5,2,1,2,1,1,1,1,1,4,4,3,4,4,4,1,5,3,2,1,3,1,2,1,3,3,3,2,1,4,3,7,6,6,7,6,4,7,6,7,5,5,5,6,6,5,5,5,7,27,18,33,35,25,46,105
0,0,0,0,0,0,0,0,0,0,5,4,4,5,4,2,4,3,4,4,4,2,6,2,5,5,5,6,6,4,4,4,4,4,2,5,4,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,4,3,2,2,2,2,3,2,4,3,2,3,3,2,3,6,5,4,5,4,3,6,7,6,4,4,5,5,4,5,5,7,6,28,17,35,31,24,48,91
65,1,5,2,1,1,1,2,4,3,4,5,3,4,4,4,5,0,0,0,0,5,5,5,4,0,0,6,0,4,3,5,4,4,5,4,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,5,5,5,5,5,4,6,7,7,7,4,7,7,4,5,5,7,6,29,0,0,34,12,0,101
56,1,3,1,1,1,1,4,3,7,4,1,2,3,2,4,3,1,2,3,3,1,5,4,3,5,4,5,5,2,1,4,2,5,4,4,4,1,1,1,1,2,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,3,1,5,4,1,3,3,2,2,7,6,5,6,4,5,7,7,7,7,5,7,6,4,5,4,6,7,19,10,31,26,13,41,105
41,1,3,2,1,1,2,0,0,2,3,3,2,3,3,4,3,2,3,3,1,1,4,5,1,4,5,3,3,2,3,3,4,4,4,3,4,1,1,1,1,1,2,2,1,3,4,2,3,5,3,1,4,3,1,1,1,1,4,1,4,4,1,4,2,3,3,6,5,5,6,6,3,6,1,5,5,3,5,5,6,6,4,5,4,21,10,25,27,22,46,86
33,1,3,2,1,1,1,2,2,3,5,5,2,5,5,5,5,5,5,5,5,3,4,5,7,4,7,4,4,5,5,5,5,5,5,5,3,1,1,1,1,3,1,1,1,3,3,1,1,4,4,2,5,2,1,1,1,1,4,1,4,4,1,4,4,4,4,7,7,7,7,7,3,7,7,7,7,3,7,7,7,5,7,7,7,32,23,35,88,18,51,116
27,2,3,2,1,2,1,1,3,7,5,5,5,5,4,1,5,4,5,5,5,3,7,2,4,7,7,6,7,5,5,5,5,5,4,5,5,1,1,1,1,1,1,2,1,4,2,1,1,5,1,2,5,4,1,1,1,1,1,1,4,2,1,1,3,2,2,5,6,4,5,2,1,7,7,7,6,1,6,7,5,2,6,7,7,0,0,0,0,0,0,0
45,1,3,1,1,1,1,4,2,3,4,4,3,5,4,2,5,4,3,3,4,5,4,7,3,2,5,2,3,5,3,4,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,2,5,1,2,1,1,1,4,1,4,4,1,4,5,3,4,5,7,7,6,5,3,7,7,6,5,1,7,7,3,6,5,7,7,0,0,0,0,0,0,0
50,1,3,2,1,1,1,2,2,3,5,4,2,4,4,3,4,4,3,3,1,5,2,5,4,6,6,5,5,5,4,4,4,4,3,4,4,1,1,1,2,2,1,1,1,1,1,1,1,4,2,1,5,3,1,1,1,2,3,1,5,3,1,4,3,4,4,7,7,5,7,2,1,7,7,7,4,3,7,7,7,5,7,5,5,0,0,0,0,0,0,0
56,1,3,0,1,1,0,1,2,7,4,4,2,3,4,4,4,3,0,4,2,2,2,4,2,3,7,4,3,4,3,4,3,4,4,3,4,1,1,1,1,2,2,2,3,4,4,2,1,5,2,3,4,4,2,3,2,3,3,1,5,2,1,3,2,2,1,6,5,6,6,2,4,7,7,7,5,3,7,7,5,5,5,7,6,0,0,0,0,0,0,0
39,1,3,2,1,1,1,1,2,2,4,4,4,4,3,3,4,4,3,3,4,3,5,3,6,5,7,6,5,4,5,4,4,4,4,5,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,2,1,1,1,1,3,1,4,3,1,3,3,4,2,6,5,5,4,4,6,7,4,4,5,4,5,5,5,3,4,7,5,0,0,0,0,0,0,0
59,1,3,1,1,1,0,2,1,3,4,4,2,2,4,4,2,3,0,3,3,4,4,4,3,4,6,4,4,4,4,4,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,3,1,1,1,1,2,2,4,3,1,2,4,4,4,5,5,5,5,2,3,5,6,6,5,3,6,5,5,5,5,6,5,0,0,0,0,0,0,0
40,2,1,0,1,1,1,4,0,7,4,4,3,4,4,3,4,4,0,4,4,3,5,3,4,5,5,4,4,4,3,4,3,4,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,5,3,2,1,1,1,3,1,4,3,1,3,3,2,3,5,5,5,5,3,3,5,7,7,6,4,7,7,5,5,6,7,7,0,0,0,0,0,0,0
41,1,4,2,1,1,1,2,2,1,3,4,4,3,4,4,4,3,0,3,4,3,4,4,4,4,5,5,4,4,4,4,4,4,4,3,4,2,2,2,2,2,2,2,2,2,3,2,2,4,3,2,4,3,1,1,1,2,4,1,4,3,1,4,4,4,2,6,5,5,4,4,3,6,7,6,5,5,5,5,5,5,5,7,5,0,0,0,0,0,0,0
55,1,3,2,1,1,0,2,3,3,5,4,3,4,2,2,4,3,0,4,4,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,5,3,1,1,1,1,2,1,2,1,1,1,1,1,1,5,6,4,5,4,5,6,6,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0
55,1,3,2,1,1,1,4,4,3,5,5,2,4,5,3,5,4,0,5,4,5,5,5,5,5,6,6,5,4,5,5,5,5,5,4,4,1,1,1,1,2,1,2,1,1,1,4,1,5,1,1,5,1,1,1,1,1,5,1,5,5,1,5,5,5,5,5,5,1,5,2,4,7,7,7,5,6,7,7,4,5,6,7,7,0,0,0,0,0,0,0
53,1,3,2,1,1,1,1,3,3,4,5,5,5,5,5,5,5,0,5,5,5,6,1,6,6,6,6,5,5,5,5,5,5,5,5,5,1,1,1,1,1,2,1,1,1,1,1,5,5,5,5,5,2,5,2,5,2,5,5,5,5,5,5,2,5,5,5,1,7,6,6,1,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0
51,1,3,2,1,1,1,2,3,4,5,5,3,5,5,1,5,4,0,5,5,5,6,3,4,6,6,5,5,3,4,4,4,5,4,5,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,5,1,5,5,1,1,4,5,5,7,7,7,5,3,4,7,7,5,4,6,7,7,6,6,6,7,6,0,0,0,0,0,0,0
53,1,1,2,1,1,2,0,1,8,4,4,2,4,4,2,4,2,2,3,4,4,5,1,5,3,5,3,3,4,4,4,4,4,4,4,3,2,2,2,2,2,4,3,2,2,4,4,2,4,1,2,4,4,1,1,3,1,4,1,5,3,1,4,4,3,3,5,5,5,6,3,2,4,6,6,6,5,5,5,5,5,5,5,4,0,0,0,0,0,0,0
35,1,1,2,1,2,1,2,2,3,5,4,3,5,3,2,5,5,3,4,4,3,5,3,5,7,6,4,6,4,3,5,4,4,5,3,3,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,5,3,1,1,1,1,3,1,3,2,1,1,3,2,2,5,4,4,3,2,2,6,7,7,7,4,7,7,7,7,6,5,5,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,2,4,3,3,4,4,4,7,1,7,7,7,7,7,5,4,4,4,5,5,5,5,2,2,2,2,2,2,2,2,4,4,4,3,4,4,2,4,3,2,2,3,2,4,2,4,4,3,4,4,4,3,6,6,6,6,4,4,5,5,6,6,5,6,6,6,5,6,6,5,0,0,0,0,0,0,0
43,1,3,0,1,1,1,1,0,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,5,5,5,5,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,3,3,1,1,1,1,5,1,3,3,1,3,3,3,3,3,6,6,5,5,5,2,6,7,5,5,5,6,5,5,5,6,5,0,0,0,0,0,0,0
66,1,3,1,1,1,0,2,3,7,1,5,1,4,4,3,4,3,0,5,5,5,7,1,5,0,6,6,6,4,3,4,5,5,5,5,5,1,2,1,1,1,2,2,2,3,3,2,2,5,2,1,5,1,1,2,1,1,4,1,4,4,1,4,5,5,5,5,7,7,7,3,5,7,7,7,7,7,7,7,7,7,7,7,7,0,0,0,0,0,0,0
39,1,1,2,1,2,1,4,3,2,4,3,3,4,4,4,4,3,0,3,3,2,5,3,3,4,6,5,5,3,3,3,3,4,5,3,4,3,2,2,2,2,2,2,2,2,2,2,3,1,4,2,1,5,2,1,1,1,1,2,1,4,3,1,1,3,4,5,5,7,6,4,3,6,6,6,5,4,6,6,5,5,4,5,6,0,0,0,0,0,0,0
44,1,3,2,1,1,1,1,2,3,5,5,5,4,4,3,4,4,0,4,4,4,5,4,3,4,7,4,5,4,4,4,4,4,3,4,4,3,1,1,1,2,1,1,1,1,1,1,1,5,1,4,5,3,2,3,1,2,4,1,4,4,1,1,3,4,3,5,5,4,5,6,2,6,7,7,7,4,7,7,5,5,6,6,6,0,0,0,0,0,0,0
42,1,3,2,1,1,1,0,0,2,4,4,5,4,4,3,5,3,4,3,4,3,3,5,5,5,7,4,4,4,5,4,4,5,5,4,5,2,1,1,1,3,1,2,2,2,2,2,2,5,1,1,5,3,2,1,1,1,3,3,5,3,1,3,3,1,3,5,6,7,7,5,3,5,5,7,6,3,7,7,5,5,6,7,6,0,0,0,0,0,0,0
34,1,3,2,1,1,1,2,1,3,5,4,4,5,4,1,4,4,4,4,4,4,6,1,6,6,6,1,6,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,3,1,1,1,1,2,1,5,1,1,1,3,3,2,7,7,7,6,4,2,7,7,7,5,5,7,7,5,4,7,7,7,0,0,0,0,0,0,0
45,1,3,2,1,1,1,2,4,3,4,5,5,5,1,5,4,5,5,5,5,5,7,1,7,7,7,1,7,5,4,4,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,5,1,5,4,1,4,3,3,4,7,6,5,5,4,1,7,7,7,5,1,7,7,7,6,7,7,7,0,0,0,0,0,0,0
61,1,3,0,2,1,0,4,2,3,4,5,4,4,5,3,4,4,0,5,5,5,5,4,4,4,4,4,4,4,0,4,4,4,4,4,4,2,1,4,1,1,1,1,1,1,1,4,4,4,1,4,4,1,1,4,1,1,4,4,4,4,1,4,1,1,1,4,4,7,1,1,6,7,7,7,7,7,7,7,7,5,5,7,5,0,0,0,0,0,0,0
35,1,3,2,1,1,1,4,3,3,4,4,3,5,4,2,4,4,0,4,3,3,5,2,5,5,5,5,5,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,1,3,2,2,3,5,3,1,5,3,2,1,1,1,5,1,5,5,1,4,3,3,3,7,7,7,5,4,5,7,7,6,5,3,7,7,6,3,5,7,7,0,0,0,0,0,0,0
56,1,3,2,1,1,1,1,2,3,4,4,4,5,4,4,4,0,0,4,4,3,5,4,5,0,7,5,5,4,5,0,5,5,5,5,5,1,1,1,1,1,1,1,1,4,2,1,1,5,4,1,5,5,1,1,1,1,0,0,0,0,0,0,0,0,0,4,5,6,6,4,4,5,7,6,5,7,7,7,6,6,6,7,7,0,0,0,0,0,0,0
28,2,4,2,1,2,0,1,2,7,5,4,4,4,3,4,4,3,4,4,4,2,5,5,6,5,7,5,4,4,5,3,3,4,4,4,3,3,2,3,2,1,1,1,1,4,3,3,3,3,4,2,4,4,2,2,3,2,4,2,4,4,2,3,2,2,2,7,6,4,3,4,5,4,7,5,7,6,5,7,5,5,3,5,5,0,0,0,0,0,0,0
35,1,3,2,1,1,1,1,3,7,4,4,3,3,4,2,5,3,4,4,5,4,5,3,2,4,7,4,4,5,4,4,5,5,5,4,4,2,1,1,1,1,1,1,1,2,2,2,1,5,2,1,5,3,2,1,1,1,2,1,5,4,1,1,3,3,2,6,7,5,4,2,4,7,6,5,4,4,6,7,4,3,4,6,6,0,0,0,0,0,0,0
39,1,3,2,1,1,0,1,1,2,4,4,3,4,3,2,5,4,4,4,4,3,5,5,4,4,5,5,5,4,3,4,4,4,4,4,4,1,1,1,1,1,1,3,2,2,2,1,1,4,2,3,5,3,1,2,1,1,4,1,5,4,1,4,3,3,2,5,6,5,7,5,4,5,5,4,6,6,7,6,6,5,6,5,6,0,0,0,0,0,0,0
36,1,3,2,1,1,1,1,2,2,3,2,1,3,2,4,3,1,2,2,3,2,2,6,1,2,3,1,2,3,2,1,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,5,4,1,1,1,1,4,1,5,4,1,4,2,3,2,6,6,5,5,1,1,6,7,7,5,4,7,6,5,5,5,6,6,0,0,0,0,0,0,0
51,1,3,2,1,1,1,1,2,3,4,5,3,4,4,4,4,4,1,0,3,4,4,5,4,6,6,6,5,4,4,4,4,4,4,4,4,2,2,2,2,3,2,2,1,2,2,2,2,4,1,1,4,1,1,4,1,1,4,1,4,4,4,4,4,4,4,5,5,6,5,3,2,5,6,6,5,5,6,5,6,5,6,6,5,0,0,0,0,0,0,0
56,1,3,2,1,1,0,1,3,3,4,5,2,4,5,4,5,5,0,5,4,5,5,1,5,5,5,5,5,5,5,0,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,5,1,1,1,1,1,1,5,5,1,5,5,5,5,6,6,6,5,3,7,6,0,7,7,7,7,5,6,6,6,6,6,0,0,0,0,0,0,0
60,1,3,2,0,1,0,0,1,3,4,5,1,5,4,1,4,1,0,3,5,1,2,0,1,2,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,4,7,2,6,7,6,4,7,7,7,6,5,3,1,6,6,0,0,0,0,0,0,0
41,1,3,2,1,1,1,2,1,3,4,4,4,4,4,2,4,4,0,4,4,4,5,4,5,5,7,5,5,4,4,5,4,4,4,4,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,5,1,1,1,1,1,3,1,5,3,1,3,3,4,4,7,6,6,7,5,0,7,7,7,4,2,7,6,6,6,6,7,7,0,0,0,0,0,0,0
56,1,4,2,1,1,0,4,3,3,4,5,5,3,5,5,5,5,0,5,5,5,6,5,7,0,6,6,7,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,4,1,1,1,5,5,5,1,5,1,1,5,5,5,5,5,6,6,6,2,2,6,6,6,6,6,6,6,6,6,6,6,6,0,0,0,0,0,0,0
36,1,1,2,2,2,2,4,0,8,5,4,3,5,4,1,5,4,4,4,5,4,6,3,4,4,5,5,5,4,3,3,3,4,4,4,4,2,1,1,1,1,1,1,1,1,1,1,1,4,2,1,4,2,1,1,1,1,3,1,4,3,1,2,4,4,3,6,7,5,7,6,5,6,4,6,5,5,6,6,6,4,4,7,7,0,0,0,0,0,0,0
33,1,3,2,1,2,1,3,3,7,4,4,3,4,4,3,4,4,4,4,4,3,5,3,4,6,7,5,5,4,4,3,4,4,4,4,4,2,1,1,1,1,1,1,2,2,1,1,1,4,2,2,4,2,2,1,2,2,4,2,4,4,2,3,4,3,2,6,4,4,5,3,3,7,7,5,3,4,6,6,5,2,5,6,6,0,0,0,0,0,0,0
21,1,1,2,1,2,1,3,3,7,4,4,4,4,3,5,2,3,4,4,4,1,5,2,3,6,3,4,4,5,4,4,3,3,3,3,3,2,1,2,2,1,1,2,1,3,3,4,1,3,2,2,4,2,1,2,2,3,2,1,3,2,2,2,3,3,3,5,5,3,4,3,2,5,7,2,5,4,5,6,4,5,3,6,6,0,0,0,0,0,0,0
33,1,1,2,1,2,1,1,2,7,4,4,3,4,3,4,3,4,4,4,4,2,4,4,4,4,5,5,4,3,3,3,4,4,4,3,4,2,2,1,1,2,1,2,1,2,2,2,2,4,3,3,5,4,3,3,3,2,4,2,3,4,2,3,1,1,1,4,5,6,4,4,4,4,6,7,5,5,6,6,4,4,6,6,6,0,0,0,0,0,0,0
48,1,1,2,1,1,0,1,1,7,5,4,3,4,4,3,4,3,3,2,5,4,4,4,5,0,5,4,3,4,3,4,4,5,3,4,4,1,1,1,1,1,1,1,1,2,1,1,1,5,1,1,5,5,5,1,1,1,3,2,4,3,1,1,2,2,1,6,7,6,6,4,5,7,7,7,6,5,7,7,5,6,6,6,7,0,0,0,0,0,0,0
50,1,3,2,1,2,1,3,2,8,5,4,2,5,4,4,5,4,4,4,4,4,4,3,3,3,5,5,3,4,3,4,5,5,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,1,3,2,4,3,6,0,7,7,3,4,7,6,5,5,6,6,5,6,6,7,6,7,0,0,0,0,0,0,0
33,1,3,2,1,2,1,1,1,8,5,5,5,5,5,2,4,3,4,4,4,4,7,3,5,6,7,7,7,4,4,4,4,4,5,5,4,1,1,1,1,1,1,1,1,1,1,1,1,5,3,1,5,2,1,1,1,1,3,1,5,3,1,4,5,5,5,5,6,5,6,5,3,3,2,7,6,2,3,4,5,2,2,4,5,0,0,0,0,0,0,0
28,1,1,2,1,2,1,1,2,7,4,4,4,4,4,4,4,4,0,4,4,4,5,4,4,3,5,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,4,4,4,2,4,2,2,5,3,1,1,1,1,4,1,4,3,1,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0
33,2,3,2,1,1,1,1,2,7,5,4,4,4,4,3,5,4,4,4,4,4,5,3,4,4,6,6,5,4,5,4,5,5,4,3,4,5,1,4,1,1,1,1,1,4,4,3,2,5,3,1,5,5,2,1,1,1,4,3,5,4,1,4,1,2,1,7,6,6,5,5,6,7,7,7,7,4,6,7,4,6,5,7,7,0,0,0,0,0,0,0
41,1,3,2,1,1,1,1,2,9,3,4,4,3,4,3,4,3,4,3,4,3,6,1,3,5,7,7,5,5,3,5,5,5,5,3,4,1,1,1,1,1,1,1,1,3,2,1,1,5,1,3,5,3,1,2,1,2,4,1,4,3,1,4,2,2,2,6,5,7,4,3,3,7,7,7,5,4,7,7,5,3,6,7,6,0,0,0,0,0,0,0
42,2,1,2,1,1,1,4,2,6,4,2,1,4,2,3,4,3,3,3,4,2,5,2,5,3,5,5,5,4,2,4,3,4,3,4,4,3,2,2,2,2,2,2,2,3,4,4,2,4,3,1,4,4,4,2,2,2,3,4,4,2,2,3,2,2,2,4,6,6,5,3,5,6,1,6,6,5,5,6,4,5,4,6,6,0,0,0,0,0,0,0
